stage,avg_percentage_laid_off
Seed,0.6952173913043478
"Series A",0.3839639639639637
"Series B",0.3221596244131453
Unknown,0.31364754098360664
Acquired,0.30740229885057463
"Series C",0.23902061855670095
NULL,0.23199999999999998
"Series D",0.18362275449101795
"Series E",0.18279069767441852
"Series G",0.1607692307692308
"Private Equity",0.15896551724137933
Post-IPO,0.15746266233766246
"Series J",0.1425
"Series F",0.13948717948717948
"Series H",0.136
"Series I",0.09666666666666668
Subsidiary,0.056666666666666664
